AmbientConditions.AmbientHumidity.U.Actual,AmbientConditions.AmbientTemperature.U.Actual,Machine1.RawMaterialFeederParameter.U.Actual,Machine1.Zone1Temperature.C.Actual,Machine1.Zone2Temperature.C.Actual,Machine1.MaterialPressure.U.Actual,Machine1.MaterialTemperature.U.Actual,Machine2.RawMaterialFeederParameter.U.Actual,Machine2.Zone1Temperature.C.Actual,Machine2.Zone2Temperature.C.Actual,Machine2.MaterialPressure.U.Actual,Machine2.MaterialTemperature.U.Actual,Machine3.RawMaterial.Property1,Machine3.RawMaterial.Property2,Machine3.RawMaterial.Property3,Stage2.Output.Measurement11.U.Actual,Stage2.Output.Measurement12.U.Actual,Stage2.Output.Measurement13.U.Actual,Stage2.Output.Measurement14.U.Actual
14.92,23.19,1270.31,72.0,71.5,418.91,81.7,187.88,68.99,69.09,227.4,76.8,8.83,221,433.18,5.56,2.04,3.43,7.81
17.24,23.53,1242.81,71.9,72.7,414.33,79.6,224.93,69.01,69.11,230.57,73.1,9.02,186,421.16,4.95,1.67,2.48,7.44
15.02,23.02,1266.59,72.0,72.5,417.63,81.5,202.31,69.01,69.09,228.27,77.0,8.83,221,433.18,5.66,2.02,3.38,7.99
14.13,24.36,1053.4,72.0,71.7,424.45,83.4,202.73,69.0,69.08,222.73,77.2,8.83,221,433.18,5.47,1.99,3.71,7.65
15.34,23.53,1266.7,72.0,72.6,416.96,81.4,194.84,68.97,68.99,224.47,77.1,9.86,192,408.97,5.93,2.14,3.44,7.99
16.54,24.09,1265.36,72.0,72.7,424.02,81.1,196.07,69.01,69.07,225.77,77.1,9.86,192,408.97,5.88,2.09,3.47,8.19
16.73,24.09,1290.73,72.0,71.4,421.72,80.9,210.73,68.97,69.06,226.67,76.6,9.02,186,421.16,5.87,2.04,3.37,8.32
16.44,23.7,1267.1,72.0,72.6,415.9,81.1,184.8,69.58,69.11,226.68,77.1,9.86,192,408.97,5.82,2.11,3.45,7.84
15.63,23.43,1262.64,72.0,71.5,415.11,81.4,206.17,68.98,69.09,224.33,77.0,9.86,192,408.97,5.62,2.09,3.45,7.85
14.04,24.16,1264.0,72.0,72.5,415.09,83.2,224.5,69.0,69.09,226.42,77.2,8.83,221,433.18,5.57,2.01,3.64,8.34
17.04,23.69,1261.31,72.1,72.0,426.59,80.8,218.1,69.01,69.09,227.97,75.5,9.02,186,421.16,0.0,0.1,3.34,0.0
14.04,24.16,1259.52,72.0,71.7,414.99,83.2,181.01,69.0,69.08,226.75,77.3,8.83,221,433.18,5.53,2.07,3.84,7.96
14.65,23.53,1267.59,72.0,72.5,416.79,82.0,220.83,68.98,69.06,226.45,76.9,8.83,221,433.18,5.61,2.07,3.47,7.99
16.54,24.16,1251.92,72.0,72.1,416.69,80.9,222.37,68.97,69.08,224.72,77.0,9.02,186,421.16,5.83,2.07,3.41,8.07
16.54,24.09,1287.18,72.0,72.7,416.62,81.1,204.86,68.98,69.11,222.12,76.9,9.86,192,408.97,5.87,2.08,3.4,8.01
14.04,23.93,1262.07,72.0,71.9,371.81,81.5,195.64,68.98,69.06,220.65,76.9,8.83,221,433.18,5.61,2.08,3.87,7.64
14.23,24.02,1247.7,72.0,72.5,374.92,81.4,203.13,68.98,69.06,224.47,76.9,8.83,221,433.18,5.53,2.12,3.95,7.59
16.63,23.67,1257.4,72.0,71.6,418.2,80.9,219.12,68.99,69.09,224.15,77.1,9.86,192,408.97,5.71,2.07,3.5,7.89
15.54,23.16,1269.46,72.0,71.9,420.74,81.3,215.83,69.0,69.06,227.5,76.9,9.86,192,408.97,5.7,2.07,3.46,7.73
16.63,23.77,1251.76,72.0,72.1,416.88,81.1,190.93,69.0,69.02,221.87,77.2,9.86,192,408.97,5.91,2.08,3.41,7.79
14.42,23.32,773.24,72.0,71.7,422.12,82.2,220.48,69.0,69.09,224.85,77.1,8.83,221,433.18,5.62,2.07,3.54,7.85
13.84,24.26,1237.55,72.1,72.0,398.86,81.9,219.34,68.98,69.08,226.42,77.1,8.83,221,433.18,5.5,2.07,3.89,7.72
16.73,24.09,1082.01,72.0,72.1,410.68,81.1,198.96,68.97,69.09,222.8,76.9,9.02,186,421.16,5.82,2.09,3.51,9.11
14.65,23.59,1257.29,72.0,72.5,426.85,81.9,199.74,68.96,69.05,224.73,77.0,8.83,221,433.18,5.68,2.13,3.51,8.22
16.73,24.0,1263.55,72.0,71.8,421.26,81.0,180.85,69.0,69.1,231.15,76.5,9.02,186,421.16,5.78,2.08,3.48,8.29
16.54,24.09,1248.86,72.0,72.4,415.35,81.1,202.15,68.99,69.09,222.93,77.1,9.02,186,421.16,5.84,2.02,3.42,7.75
15.63,23.43,1279.62,72.0,71.6,418.98,81.3,233.21,69.0,69.06,222.37,77.0,9.86,192,408.97,5.68,2.07,3.58,7.88
16.44,24.26,1266.2,72.0,71.4,411.5,80.8,196.64,68.98,69.06,224.03,76.8,9.02,186,421.16,5.88,2.05,3.42,8.48
16.83,23.93,1260.04,72.0,71.7,419.24,81.0,220.79,68.99,69.09,226.07,76.9,9.02,186,421.16,5.83,2.08,3.52,7.62
16.95,23.86,1258.12,72.1,72.4,423.61,80.8,205.18,68.97,69.08,231.67,76.1,9.02,186,421.16,5.74,2.04,3.46,8.66
16.64,23.87,1252.41,72.0,71.5,422.03,80.9,225.98,68.97,69.03,225.03,77.0,9.02,186,421.16,5.82,2.05,3.49,9.49
17.24,23.53,1247.7,71.9,72.2,413.82,79.0,191.69,69.0,69.74,237.87,72.4,9.02,186,421.16,0.0,0.0,0.0,0.0
13.94,24.16,1258.81,72.0,71.8,372.53,81.6,201.06,69.01,69.09,222.77,77.2,8.83,221,433.18,5.55,2.07,3.97,10.27
14.42,23.66,1037.71,71.9,71.4,379.26,81.1,210.5,68.99,69.06,227.5,77.1,8.83,221,433.18,5.68,2.11,3.7,7.68
14.04,24.16,1263.92,72.0,72.3,408.86,83.3,210.7,68.99,69.1,223.9,77.1,8.83,221,433.18,5.51,2.06,3.67,7.87
16.54,24.09,1264.49,72.0,72.5,419.36,80.9,162.83,68.98,69.04,228.92,76.8,9.02,186,421.16,5.79,2.03,3.52,8.37
16.64,23.87,1260.55,72.0,71.4,420.92,80.9,169.55,68.97,69.09,225.75,76.9,9.02,186,421.16,5.93,2.06,3.38,9.08
14.65,23.53,819.69,72.0,72.4,412.84,82.0,200.2,69.58,69.08,228.05,77.1,8.83,221,433.18,5.61,2.01,3.56,8.12
16.54,24.09,1267.22,72.0,71.5,415.09,80.9,189.69,68.97,69.09,225.02,77.1,9.02,186,421.16,5.79,2.09,3.58,7.79
15.63,23.43,1287.04,72.0,72.6,411.27,81.5,239.01,69.01,69.09,228.05,77.1,9.86,192,408.97,5.54,2.09,3.53,7.95
